Name,Rarity,ATK,HP,DEF,SPD,CR%,CD%,EFF%,RES%
Jack-O,5,1228,5784,553,109,23,165,0,0
Januta,3,1144,4895,543,101,23,150,0,0
Jecht,3,812,3925,599,107,15,150,12,18
Jena,3,1063,4491,599,101,27,150,18,0
Jenua,5,1228,6266,473,113,23,150,0,0
Judge Kise,5,1177,5542,553,119,27,150,0,0
Judith,3,848,4289,494,117,27,150,18,0
Juni,3,1000,4895,518,114,27,150,0,0
Kane,5,1359,5542,585,105,23,150,0,0
Karin,4,1188,4855,508,113,23,150,0,0
Kawerik,5,1306,4248,652,121,23,150,0,0
Kayron,5,1119,5340,483,129,23,150,0,0
Ken,5,966,7323,657,102,15,150,0,0
Khawana,4,957,4653,515,123,27,150,18,0
Khawazu,4,1119,6091,594,100,15,150,0,0
Kikirat v2,3,667,5704,749,90,15,150,0,18
Kiris,3,857,5057,543,110,15,150,30,0
Kise,5,1283,5138,522,116,23,150,0,0
Kitty Clarissa,4,957,5057,592,112,27,150,18,0
Kizuna AI,4,576,5700,743,98,15,150,0,0
Kluri,3,703,5914,596,105,15,150,18,0
Krau,5,839,6405,752,100,15,150,0,18
Laia,5,984,6266,637,117,15,150,0,0
Landy,5,1158,6002,553,112,23,150,0,0
Last Piece Karin,4,1029,5097,473,126,23,150,0,0
Last Rider Krau,5,839,6405,752,100,15,150,0,18
Leah,3,1081,4450,504,118,15,150,0,0
Lena,3,951,5517,583,104,65,150,0,0
Leo,4,930,5380,564,112,15,150,30,0
Lethe,5,885,6764,613,121,15,150,18,0
Lidica,5,1283,4976,536,124,15,150,0,0
Lilka,3,1005,4693,532,109,15,150,18,0
Lilias,5,821,6751,648,110,65,150,18,0
Lilibet,5,1119,6266,627,109,15,150,0,0
Lionheart Cermia,5,984,6266,637,117,15,150,0,0
Little Queen Charlotte,5,1119,6266,627,109,15,150,0,0
Lone Crescent Bellona,5,1208,6488,616,102,15,150,0,0
Lone Wolf Peira,5,885,6149,613,121,15,150,18,0
Lorina,3,1144,4895,543,101,23,150,0,50
Lots,4,603,4945,662,103,15,150,0,30
Lua,5,993,6002,611,120,15,150,0,0
Lucy,3,558,4733,661,102,15,150,18,0
Ludwig,5,1412,4248,645,112,23,150,0,0
Luluca,5,1316,4777,715,108,15,150,18,0
Luna,5,1119,6266,627,109,45,150,0,0
Magic Scholar Doris,3,540,5734,705,101,15,150,0,25
Maid Chloe,5,649,5254,694,105,15,150,0,30
Martial Artist Ken,5,1359,5542,585,105,23,150,0,0
Mascot Hazel,3,849,5256,662,111,15,150,0,0
Maya,4,821,6796,648,112,15,150,18,0
Mediator Kawerik,5,966,7323,657,102,15,150,0,0
Melany,3,951,5517,583,104,15,150,0,0
Melissa,5,1412,4248,645,112,23,150,0,0
Mercedes,4,1187,4491,627,101,27,160,0,0
Mercenary Helga,3,1117,5790,518,114,27,150,25,0
Midnight Gala Lilias,5,1208,5178,508,121,15,165,0,0
Mighty Scout,2,919,5237,525,116,15,150,12,0
Milim,5,1359,4895,652,110,23,150,0,0
Mirsa,3,885,4410,501,120,27,150,18,0
Mistychain,3,1252,3925,606,109,23,150,0,0
Montmorancy,3,540,4900,729,98,15,150,0,12
Moon Bunny Dominiel,4,649,4572,631,114,15,150,0,30
Mort,5,957,6148,634,109,27,150,0,0
Mucacha,3,1000,4895,518,114,27,150,0,0
Mui,5,1039,5340,617,115,27,150,18,0
Muse Rima,3,822,5120,561,117,27,150,25,0
Muwi,3,1039,5517,452,108,23,150,0,0
Nahkwol,5,1003,5704,585,115,15,150,30,0
Navy Captain Landy,5,1134,5825,662,99,23,150,0,0
Nemunas,3,920,4855,525,110,27,160,0,0
New Kid Adin,4,1068,4733,515,119,27,150,0,0
New Moon Luna,5,1039,6034,613,124,15,150,0,0
Ocean Breeze Luluca,5,649,5254,694,105,15,150,0,30
Operator Sigret,5,1079,5502,564,115,27,160,0,0
Orte,3,857,4531,483,125,35,150,0,0
Otillie,3,885,4693,617,110,15,150,18,18
Pavel,5,1283,4976,536,124,15,150,0,0
Peacemaker Furious,4,970,5935,557,106,27,150,0,0
Pearlhorizon,3,921,4855,631,112,15,150,18,18
Peira,5,1075,5562,487,128,15,150,18,0
Penelope,3,1039,5517,452,108,23,150,0,0
Pernilla,3,1144,4895,543,101,23,150,0,0
Pirate Captain Flan,5,1182,5299,571,114,15,150,18,0
Politis,5,1197,4572,683,106,15,150,30,0
Purrgis,4,1119,6091,594,100,15,150,0,0
Pyllis,3,685,6403,703,91,15,150,0,0
Ragnvald,3,1081,4572,494,111,23,150,0,0
Ram,5,1556,4572,683,106,15,150,30,0
Ran,5,1119,5380,483,129,23,150,0,0
Ras,3,758,5826,672,95,15,150,0,12
Ravi,5,966,7323,657,102,15,150,0,0
Ray,5,694,4855,655,117,15,150,0,30
Rem,5,1208,6488,616,102,15,150,0,0
Remnant Violet,5,1283,5138,522,116,23,150,0,0
Requiem Roana,5,1316,4777,715,108,15,150,18,0
Requiemroar,3,848,4046,613,106,15,150,12,18
Researcher Carrot,3,1161,4801,666,114,27,150,0,0
Revna,3,1039,5517,452,108,23,150,0,0
Righteous Thief Roozid,3,1081,5402,494,120,23,150,0,0
Rikoris,3,951,5517,583,104,15,150,0,0
Rima,3,822,4693,561,117,27,150,0,0
Rimuru,5,1119,6266,627,109,15,150,0,0
Rin,4,594,5057,691,104,15,150,18,0
Rinak,5,1112,5623,480,129,15,150,0,0
Riza Hawkeye,5,1003,5704,585,115,15,150,30,0
Roaming Warrior Leo,4,1088,5016,553,111,15,150,18,0
Roana,5,621,5474,802,102,15,150,0,12
Robin,5,1003,5704,585,115,15,150,30,0
Romann,4,1109,4329,655,105,15,150,30,0
Roozid,3,1081,4572,494,111,23,150,0,0
Rose,4,821,6266,703,97,15,150,0,12
Roy Mustang,5,1412,4248,645,112,23,150,0,0
Ruele of Light,5,621,5474,802,102,15,150,0,12
Sage Baal & Sezan,5,1039,5299,673,115,15,150,18,18
Savior Adin,3,1199,4572,494,116,33,150,0,0
Schniel,5,694,5340,655,117,15,150,0,30
Schuri,4,1068,5650,536,110,23,150,0,0
Sea Phantom Politis,5,993,6002,611,120,15,150,0,0
Seaside Bellona,5,1182,5299,571,114,15,150,18,0
Senya,5,1446,6321,645,100,15,150,0,0
Serene Purity Adin,3,1081,5194,494,116,23,150,20,0
Serila,4,1218,4521,683,106,15,150,18,0
Sez,5,1228,6266,473,113,23,150,0,0
Shadow Knight Pyllis,3,685,6403,703,97,15,150,25,0
Shadow Rose,4,889,5784,610,107,27,150,0,0
Shalltear,5,1177,5542,553,119,27,150,0,0
Sharun,5,640,5340,720,106,15,150,18,0
Shepherd Jena,3,1063,5305,599,111,27,150,18,0
Shooting Star Achates,4,576,5700,743,98,15,150,0,0
Shuna,5,649,5254,694,105,15,150,0,30
Sigret,5,1228,5784,553,109,23,165,0,0
Silk,4,1188,4693,518,121,15,150,0,0
Silvertide Christy,3,667,5784,749,95,15,150,35,18
Silver Blade Aramintha,5,1197,4572,683,106,15,150,30,0
Sinful Angelica,4,649,4572,631,114,15,150,0,30
Sol,5,1177,5542,553,119,27,150,0,0
Solitaria of the Snow,5,1039,5299,673,115,15,150,18,18
Sonia,3,540,4900,729,98,15,150,0,12
Specimen Sez,5,1228,6266,473,113,23,150,0,0
Specter Tenebria,5,1197,4572,683,106,15,150,30,0
Spirit Eye Celine,5,1158,5016,532,122,27,150,0,0
Straze,5,1228,5784,553,109,23,165,0,0
Successor Taeyou,5,1119,6266,627,109,15,150,0,0
Summer Break Charlotte,5,957,6148,634,109,57,150,0,0
Summer's Disciple Alexa,3,1159,5194,494,111,23,155,0,0
Summertime Iseria,5,1504,5704,585,115,15,150,30,0
Surin,4,1010,5097,497,117,27,150,12,0
Suthan,3,1119,4263,652,103,15,150,18,0
Sven,3,1039,5517,452,108,23,150,0,0
Sylvan Sage Vivian,5,1359,4895,652,110,23,150,0,0
Taeyou,5,1039,5340,617,115,27,150,18,0
Talaz,3,1144,4895,543,101,23,150,0,0
Talia,3,903,4895,501,113,15,150,30,0
Tamarinne,5,957,4370,652,111,15,150,12,18
Taranor Guard,3,951,5517,583,104,15,150,0,0
Taranor Royal Guard,3,842,6463,617,90,15,150,0,0
Tempest Surin,4,1010,5097,497,117,27,150,12,0
Tenebria,5,1359,4895,652,110,23,150,0,0
Tieria,3,839,5517,591,100,15,150,0,0
Top Model Luluca,5,1228,4370,662,119,27,150,0,0
Tori,5,1283,5138,522,116,23,150,0,0
Troublemaker Crozet,4,776,6021,718,98,15,150,0,18
Twisted Eidolon Kayron,5,1228,6266,473,113,23,150,0,0
Tywin,5,821,6751,648,110,15,150,18,0
Unbound Knight Arowell,3,758,6818,672,95,15,150,0,27
Urban Shadow Choux,5,984,6266,637,117,45,150,0,0
Verdant Adin,3,1081,4572,494,116,23,150,20,0
Veronica,4,1188,4693,518,121,15,150,0,0
Victorika,4,1049,5461,634,97,23,150,0,0
Vigilante Leader Glenn,3,1026,5298,525,110,27,160,0,0
Vildred,5,1283,5138,522,116,23,150,0,0
Violet,5,1228,6266,473,113,23,150,0,0
Vivian,5,1228,4370,662,119,27,150,0,0
Wanda,3,1005,4693,532,109,15,150,18,0
Wanderer Silk,4,930,5380,564,112,15,150,30,0
Wandering Prince Cidd,4,1021,5474,610,117,15,150,0,0
Watcher Schuri,4,970,5935,557,106,27,150,0,0
Westwind Executioner Schuri,4,1088,5016,553,111,15,150,48,0
Wild Angara,2,1089,5237,525,106,23,160,0,0
Yoonryoung,3,703,5914,596,105,15,150,18,0
Young Senya,5,621,5474,802,102,15,150,0,12
Yufine,5,1228,5784,553,109,23,165,0,0
Yulha,5,894,6840,694,104,15,150,0,0
Yuna,5,1158,6002,553,112,23,150,0,0
Zahhak,5,1177,5542,553,119,27,150,0,0
Zealot Carmainerose,3,1168,4367,732,101,15,160,18,0
Zeno,5,1039,5299,673,115,15,150,18,18
Zerato,4,1159,4733,627,104,27,150,18,0
Zio,5,1255,5016,652,106,27,150,18,0
Argent Waves Hwayoung,5,1283,5138,522,116,23,150,0,0
Witch of the Mere Tenebria,5,1102,5782,634,120,15,150,0,0
Lady of the Scales,5,694,4855,655,117,15,150,0,30
Setsuka,5,1228,6266,473,113,23,150,0,0
Genesis Ras,5,885,6663,733,99,15,150,0,12
Wretched Rose,4,603,4945,662,103,15,150,0,30
Frieren,5,1412,4248,645,112,23,150,0,0
Fern,5,1286,4733,652,103,27,160,0,0
Stark,5,966,7323,657,102,15,150,0,0
Saria,5,1327,5138,582,109,23,150,0,0
School Nurse Yulha,5,1054,6606,518,115,15,150,0,0
Sealed Eye Surin,4,1218,4521,683,106,15,150,18,0
Swift Flagbearer Sigret,5,1057,5542,532,118,15,150,30,0
Shepherd of the Dark Diene,5,1039,6034,613,124,15,150,0,0
Hecate,5,966,7323,657,102,15,150,0,0
Aki,5,1449,5663,668,112,15,150,0,30
Monarch of the Sword Iseria,5,1112,6321,645,100,15,150,0,0
Ruiza,5,993,6002,611,120,15,150,0,0
Tactical Archetype Coli,5,1057,5542,532,118,15,150,30,0
Notos,5,794,7332,767,95,15,150,0,0
Perfumer Byblis,5,640,5340,720,106,15,150,18,0
Salome,5,984,6266,637,117,15,150,0,0
Estelle,5,894,6840,694,104,15,150,0,0
Ivana,5,694,4855,655,117,15,150,0,30
