Name,ATK,HP,DEF,SPD,CR%,CD%,EFF%,RES%
Enott,1019,5738,571,98,15,150,0,0
Ervalen,1228,6266,473,113,23,150,0,0
Eternal Wanderer Ludwig,1412,4248,645,112,23,150,0,0
Ezra,921,4945,462,122,15,150,18,0
Fairytale Tenebria,1039,5299,673,115,15,150,18,18
Faithless Lidica,1182,5299,571,114,15,150,18,0
Falconer Kluri,703,5914,625,114,15,150,18,0
Fallen Cecilia,894,6840,694,104,15,150,0,0
Fenne,621,6034,775,100,45,150,0,0
Fenris,1327,5138,582,109,23,150,0,0
Festive Eda,1102,5782,634,120,15,150,0,0
Fighter Maya,821,6266,703,97,15,150,0,12
Flan,1003,5704,585,115,15,150,30,0
Free Spirit Tieria,957,5057,592,112,27,150,18,0
Frida,694,4855,655,117,15,150,0,30
Fumyr,1102,5782,634,120,15,150,0,0
Furious,1068,5650,536,110,23,150,0,0
General Purrgis,903,6635,630,103,15,150,0,0
Glenn,920,4855,525,110,27,160,0,0
Gloomyrain,1199,4491,613,107,23,150,0,0
Godmother,1005,4693,532,109,15,150,18,0
Great Chief Khawana,1138,5421,536,106,53,165,0,0
Guard Captain Krau,984,6266,637,117,15,150,0,0
Guider Aither,1252,4612,627,107,23,150,0,0
Gunther,1664,5517,583,104,15,150,0,0
Harsetti,1039,6034,613,124,15,150,0,0
Hasol,758,6002,639,101,15,150,0,0
Haste,1089,5380,511,120,27,150,12,0
Hataan,1081,4572,494,111,23,150,0,0
Hazel,849,4450,662,101,15,150,0,0
Helen,685,6403,703,91,15,150,0,0
Helga,1000,4895,518,114,27,150,0,0
Hellion Lua,993,6002,611,120,15,150,0,0
Holiday Yufine,1119,6266,627,109,15,150,0,0
Holy Flame Adin,1199,5194,494,111,23,150,25,0
Hurado,930,5121,585,115,15,150,0,0
Hwayoung,1119,6266,627,109,15,150,0,0
Ian,1081,4450,504,118,15,150,0,0
Ilynav,957,6148,634,109,27,150,0,0
Immortal Wukong,1208,6488,616,102,15,150,0,0
Inferno Khawazu,1119,6091,594,100,15,150,0,0
Infinite Horizon Achates,576,5165,767,100,15,150,0,12
Inheritor Amiki,1179,5738,571,107,15,150,0,0
Iseria,1158,6002,553,112,23,150,0,0
Jack-O,1228,5784,553,109,23,165,0,0
Januta,1144,4895,543,101,23,150,0,0
Jecht,812,3925,599,107,15,150,12,18
Jena,1063,4491,599,101,27,150,18,0
Jenua,1228,6266,473,113,23,150,0,0
Judge Kise,1177,5542,553,119,27,150,0,0
Judith,848,4289,494,117,27,150,18,0
Juni,1000,4895,518,114,27,150,0,0
Kane,1359,5542,585,105,23,150,0,0
Karin,1188,4855,508,113,23,150,0,0
Kawerik,1306,4248,652,121,23,150,0,0
Kayron,1119,5340,483,129,23,150,0,0
Ken,966,7323,657,102,15,150,0,0
Khawana,957,4653,515,123,27,150,18,0
Khawazu,1119,6091,594,100,15,150,0,0
Kikirat v2,667,5704,749,90,15,150,0,18
Kiris,857,5057,543,110,15,150,30,0
Kise,1283,5138,522,116,23,150,0,0
Kitty Clarissa,957,5057,592,112,27,150,18,0
Kizuna AI,576,5700,743,98,15,150,0,0
Kluri,703,5914,596,105,15,150,18,0
Krau,839,6405,752,100,15,150,0,18
Laia,984,6266,637,117,15,150,0,0
Landy,1158,6002,553,112,23,150,0,0
Last Piece Karin,1029,5097,473,126,23,150,0,0
Last Rider Krau,839,6405,752,100,15,150,0,18
Leah,1081,4450,504,118,15,150,0,0
Lena,951,5517,583,104,65,150,0,0
Leo,930,5380,564,112,15,150,30,0
Lethe,885,6764,613,121,15,150,18,0
Lidica,1283,4976,536,124,15,150,0,0
Lilka,1005,4693,532,109,15,150,18,0
Lilias,821,6751,648,110,65,150,18,0
Lilibet,1119,6266,627,109,15,150,0,0
Lionheart Cermia,984,6266,637,117,15,150,0,0
Little Queen Charlotte,1119,6266,627,109,15,150,0,0
Lone Crescent Bellona,1208,6488,616,102,15,150,0,0
Lone Wolf Peira,885,6149,613,121,15,150,18,0
Lorina,1144,4895,543,101,23,150,0,50
Lots,603,4945,662,103,15,150,0,30
Lua,993,6002,611,120,15,150,0,0
Lucy,558,4733,661,102,15,150,18,0
Ludwig,1412,4248,645,112,23,150,0,0
Luluca,1316,4777,715,108,15,150,18,0
Luna,1119,6266,627,109,45,150,0,0
Magic Scholar Doris,540,5734,705,101,15,150,0,25
Maid Chloe,649,5254,694,105,15,150,0,30
Martial Artist Ken,1359,5542,585,105,23,150,0,0
Mascot Hazel,849,5256,662,111,15,150,0,0
Maya,821,6796,648,112,15,150,18,0
Mediator Kawerik,966,7323,657,102,15,150,0,0
Melany,951,5517,583,104,15,150,0,0
Melissa,1412,4248,645,112,23,150,0,0
Mercedes,1187,4491,627,101,27,160,0,0
Mercenary Helga,1117,5790,518,114,27,150,25,0
Midnight Gala Lilias,1208,5178,508,121,15,165,0,0
Mighty Scout,919,5237,525,116,15,150,12,0
Milim,1359,4895,652,110,23,150,0,0
Mirsa,885,4410,501,120,27,150,18,0
Mistychain,1252,3925,606,109,23,150,0,0
Montmorancy,540,4900,729,98,15,150,0,12
Moon Bunny Dominiel,649,4572,631,114,15,150,0,30
Mort,957,6148,634,109,27,150,0,0
Mucacha,1000,4895,518,114,27,150,0,0
Mui,1039,5340,617,115,27,150,18,0
Muse Rima,822,5120,561,117,27,150,25,0
Muwi,1039,5517,452,108,23,150,0,0
Nahkwol,1003,5704,585,115,15,150,30,0
Navy Captain Landy,1134,5825,662,99,23,150,0,0
Nemunas,920,4855,525,110,27,160,0,0
New Kid Adin,1068,4733,515,119,27,150,0,0
New Moon Luna,1039,6034,613,124,15,150,0,0
Ocean Breeze Luluca,649,5254,694,105,15,150,0,30
Operator Sigret,1079,5502,564,115,27,160,0,0
Orte,857,4531,483,125,35,150,0,0
Otillie,885,4693,617,110,15,150,18,18
Pavel,1283,4976,536,124,15,150,0,0
Peacemaker Furious,970,5935,557,106,27,150,0,0
Pearlhorizon,921,4855,631,112,15,150,18,18
Peira,1075,5562,487,128,15,150,18,0
Penelope,1039,5517,452,108,23,150,0,0
Pernilla,1144,4895,543,101,23,150,0,0
Pirate Captain Flan,1182,5299,571,114,15,150,18,0
Politis,1197,4572,683,106,15,150,30,0
Purrgis,1119,6091,594,100,15,150,0,0
Pyllis,685,6403,703,91,15,150,0,0
Ragnvald,1081,4572,494,111,23,150,0,0
Ram,1556,4572,683,106,15,150,30,0
Ran,1119,5380,483,129,23,150,0,0
Ras,758,5826,672,95,15,150,0,12
Ravi,966,7323,657,102,15,150,0,0
Ray,694,4855,655,117,15,150,0,30
Rem,1208,6488,616,102,15,150,0,0
Remnant Violet,1283,5138,522,116,23,150,0,0
Requiem Roana,1316,4777,715,108,15,150,18,0
Requiemroar,848,4046,613,106,15,150,12,18
Researcher Carrot,1161,4801,666,114,27,150,0,0
Revna,1039,5517,452,108,23,150,0,0
Righteous Thief Roozid,1081,5402,494,120,23,150,0,0
Rikoris,951,5517,583,104,15,150,0,0
Rima,822,4693,561,117,27,150,0,0
Rimuru,1119,6266,627,109,15,150,0,0
Rin,594,5057,691,104,15,150,18,0
Rinak,1112,5623,480,129,15,150,0,0
Riza Hawkeye,1003,5704,585,115,15,150,30,0
Roaming Warrior Leo,1088,5016,553,111,15,150,18,0
Roana,621,5474,802,102,15,150,0,12
Robin,1003,5704,585,115,15,150,30,0
Romann,1109,4329,655,105,15,150,30,0
Roozid,1081,4572,494,111,23,150,0,0
Rose,821,6266,703,97,15,150,0,12
Roy Mustang,1412,4248,645,112,23,150,0,0
Ruele of Light,621,5474,802,102,15,150,0,12
Sage Baal & Sezan,1039,5299,673,115,15,150,18,18
Savior Adin,1199,4572,494,116,33,150,0,0
Schniel,694,5340,655,117,15,150,0,30
Schuri,1068,5650,536,110,23,150,0,0
Sea Phantom Politis,993,6002,611,120,15,150,0,0
Seaside Bellona,1182,5299,571,114,15,150,18,0
Senya,1446,6321,645,100,15,150,0,0
Serene Purity Adin,1081,5194,494,116,23,150,20,0
Serila,1218,4521,683,106,15,150,18,0
Sez,1228,6266,473,113,23,150,0,0
Shadow Knight Pyllis,685,6403,703,97,15,150,25,0
Shadow Rose,889,5784,610,107,27,150,0,0
Shalltear,1177,5542,553,119,27,150,0,0
Sharun,640,5340,720,106,15,150,18,0
Shepherd Jena,1063,5305,599,111,27,150,18,0
Shooting Star Achates,576,5700,743,98,15,150,0,0
Shuna,649,5254,694,105,15,150,0,30
Sigret,1228,5784,553,109,23,165,0,0
Silk,1188,4693,518,121,15,150,0,0
Silvertide Christy,667,5784,749,95,15,150,35,18
Silver Blade Aramintha,1197,4572,683,106,15,150,30,0
Sinful Angelica,649,4572,631,114,15,150,0,30
Sol,1177,5542,553,119,27,150,0,0
Solitaria of the Snow,1039,5299,673,115,15,150,18,18
Sonia,540,4900,729,98,15,150,0,12
Specimen Sez,1228,6266,473,113,23,150,0,0
Specter Tenebria,1197,4572,683,106,15,150,30,0
Spirit Eye Celine,1158,5016,532,122,27,150,0,0
Straze,1228,5784,553,109,23,165,0,0
Successor Taeyou,1119,6266,627,109,15,150,0,0
Summer Break Charlotte,957,6148,634,109,57,150,0,0
Summer's Disciple Alexa,1159,5194,494,111,23,155,0,0
Summertime Iseria,1504,5704,585,115,15,150,30,0
Surin,1010,5097,497,117,27,150,12,0
Suthan,1119,4263,652,103,15,150,18,0
Sven,1039,5517,452,108,23,150,0,0
Sylvan Sage Vivian,1359,4895,652,110,23,150,0,0
Taeyou,1039,5340,617,115,27,150,18,0
Talaz,1144,4895,543,101,23,150,0,0
Talia,903,4895,501,113,15,150,30,0
Tamarinne,957,4370,652,111,15,150,12,18
Taranor Guard,951,5517,583,104,15,150,0,0
Taranor Royal Guard,842,6463,617,90,15,150,0,0
Tempest Surin,1010,5097,497,117,27,150,12,0
Tenebria,1359,4895,652,110,23,150,0,0
Tieria,839,5517,591,100,15,150,0,0
Top Model Luluca,1228,4370,662,119,27,150,0,0
Tori,1283,5138,522,116,23,150,0,0
Troublemaker Crozet,776,6021,718,98,15,150,0,18
Twisted Eidolon Kayron,1228,6266,473,113,23,150,0,0
Tywin,821,6751,648,110,15,150,18,0
Unbound Knight Arowell,758,6818,672,95,15,150,0,27
Urban Shadow Choux,984,6266,637,117,45,150,0,0
Verdant Adin,1081,4572,494,116,23,150,20,0
Veronica,1188,4693,518,121,15,150,0,0
Victorika,1049,5461,634,97,23,150,0,0
Vigilante Leader Glenn,1026,5298,525,110,27,160,0,0
Vildred,1283,5138,522,116,23,150,0,0
Violet,1228,6266,473,113,23,150,0,0
Vivian,1228,4370,662,119,27,150,0,0
Wanda,1005,4693,532,109,15,150,18,0
Wanderer Silk,930,5380,564,112,15,150,30,0
Wandering Prince Cidd,1021,5474,610,117,15,150,0,0
Watcher Schuri,970,5935,557,106,27,150,0,0
Westwind Executioner Schuri,1088,5016,553,111,15,150,48,0
Wild Angara,1089,5237,525,106,23,160,0,0
Yoonryoung,703,5914,596,105,15,150,18,0
Young Senya,621,5474,802,102,15,150,0,12
Yufine,1228,5784,553,109,23,165,0,0
Yulha,894,6840,694,104,15,150,0,0
Yuna,1158,6002,553,112,23,150,0,0
Zahhak,1177,5542,553,119,27,150,0,0
Zealot Carmainerose,1168,4367,732,101,15,160,18,0
Zeno,1039,5299,673,115,15,150,18,18
Zerato,1159,4733,627,104,27,150,18,0
Zio,1255,5016,652,106,27,150,18,0
Argent Waves Hwayoung,1283,5138,522,116,23,150,0,0
Witch of the Mere Tenebria,1102,5782,634,120,15,150,0,0
Lady of the Scales,694,4855,655,117,15,150,0,30
Setsuka,1228,6266,473,113,23,150,0,0
Genesis Ras,885,6663,733,99,15,150,0,12
Wretched Rose,603,4945,662,103,15,150,0,30
Frieren,1412,4248,645,112,23,150,0,0
Fern,1286,4733,652,103,27,160,0,0
Stark,966,7323,657,102,15,150,0,0
Saria,1327,5138,582,109,23,150,0,0
School Nurse Yulha,1054,6606,518,115,15,150,0,0
Sealed Eye Surin,1218,4521,683,106,15,150,18,0
Swift Flagbearer Sigret,1057,5542,532,118,15,150,30,0
Shepherd of the Dark Diene,1039,6034,613,124,15,150,0,0
Hecate,966,7323,657,102,15,150,0,0
Aki,1449,5663,668,112,15,150,0,30
Monarch of the Sword Iseria,1112,6321,645,100,15,150,0,0
Ruiza,993,6002,611,120,15,150,0,0
Tactical Archetype Coli,1057,5542,532,118,15,150,30,0
Notos,794,7332,767,95,15,150,0,0
Perfumer Byblis,640,5340,720,106,15,150,18,0
Salome,984,6266,637,117,15,150,0,0
Estelle,894,6840,694,104,15,150,0,0
Ivana,694,4855,655,117,15,150,0,30
